Iteration: 1 | Loss: 2.30211735328 | Training accuracy: 0.0799999982119% | Test accuracy: 0.107000008225%
Iteration: 2 | Loss: 2.30144987702 | Training accuracy: 0.109999999404% | Test accuracy: 0.115000002086%
Iteration: 3 | Loss: 2.30128341079 | Training accuracy: 0.119999997318% | Test accuracy: 0.116000004113%
Iteration: 4 | Loss: 2.30122601628 | Training accuracy: 0.119999997318% | Test accuracy: 0.124000005424%
Iteration: 5 | Loss: 2.30121217966 | Training accuracy: 0.149999991059% | Test accuracy: 0.115000002086%
Iteration: 6 | Loss: 2.30120761236 | Training accuracy: 0.0999999940395% | Test accuracy: 0.113000005484%
Iteration: 7 | Loss: 2.30120081107 | Training accuracy: 0.109999999404% | Test accuracy: 0.119000002742%
Iteration: 8 | Loss: 2.30120289405 | Training accuracy: 0.129999995232% | Test accuracy: 0.104000002146%
Iteration: 9 | Loss: 2.30120678226 | Training accuracy: 0.140000000596% | Test accuracy: 0.119000002742%
Iteration: 10 | Loss: 2.30119271318 | Training accuracy: 0.109999999404% | Test accuracy: 0.12800000608%
Iteration: 11 | Loss: 2.30119720936 | Training accuracy: 0.149999991059% | Test accuracy: 0.131000012159%
Iteration: 12 | Loss: 2.30119988799 | Training accuracy: 0.109999999404% | Test accuracy: 0.121000006795%
Iteration: 13 | Loss: 2.30120192726 | Training accuracy: 0.119999997318% | Test accuracy: 0.111000008881%
Iteration: 14 | Loss: 2.30119655371 | Training accuracy: 0.070000000298% | Test accuracy: 0.12800000608%
Iteration: 15 | Loss: 2.30119517843 | Training accuracy: 0.149999991059% | Test accuracy: 0.131999999285%
Iteration: 16 | Loss: 2.30120167573 | Training accuracy: 0.119999997318% | Test accuracy: 0.108000002801%
Iteration: 17 | Loss: 2.3011984094 | Training accuracy: 0.129999995232% | Test accuracy: 0.119000002742%
Iteration: 18 | Loss: 2.30119691968 | Training accuracy: 0.0599999986589% | Test accuracy: 0.121000006795%
Iteration: 19 | Loss: 2.30120341897 | Training accuracy: 0.0799999982119% | Test accuracy: 0.130000010133%
Iteration: 20 | Loss: 2.30119936585 | Training accuracy: 0.0599999986589% | Test accuracy: 0.0950000062585%
Iteration: 21 | Loss: 2.30120025873 | Training accuracy: 0.119999997318% | Test accuracy: 0.104000002146%
Iteration: 22 | Loss: 2.30119701862 | Training accuracy: 0.109999999404% | Test accuracy: 0.109000004828%
Iteration: 23 | Loss: 2.30119224389 | Training accuracy: 0.0799999982119% | Test accuracy: 0.123000003397%
Iteration: 24 | Loss: 2.30120172064 | Training accuracy: 0.129999995232% | Test accuracy: 0.129000008106%
Iteration: 25 | Loss: 2.30120267709 | Training accuracy: 0.0999999940395% | Test accuracy: 0.129000008106%
Iteration: 26 | Loss: 2.30120276968 | Training accuracy: 0.149999991059% | Test accuracy: 0.109000004828%
Iteration: 27 | Loss: 2.30119853934 | Training accuracy: 0.109999999404% | Test accuracy: 0.112000003457%
Iteration: 28 | Loss: 2.30119947632 | Training accuracy: 0.0999999940395% | Test accuracy: 0.112000003457%
Iteration: 29 | Loss: 2.3012004745 | Training accuracy: 0.109999999404% | Test accuracy: 0.117000006139%
Iteration: 30 | Loss: 2.30119954705 | Training accuracy: 0.129999995232% | Test accuracy: 0.121000006795%
Iteration: 31 | Loss: 2.30119945804 | Training accuracy: 0.229999989271% | Test accuracy: 0.120000004768%
Iteration: 32 | Loss: 2.30119947275 | Training accuracy: 0.149999991059% | Test accuracy: 0.115000002086%
Iteration: 33 | Loss: 2.30119159182 | Training accuracy: 0.119999997318% | Test accuracy: 0.108000002801%
Iteration: 34 | Loss: 2.30120380282 | Training accuracy: 0.0999999940395% | Test accuracy: 0.113000005484%
Iteration: 35 | Loss: 2.30119682868 | Training accuracy: 0.179999992251% | Test accuracy: 0.125%
Iteration: 36 | Loss: 2.30119903485 | Training accuracy: 0.119999997318% | Test accuracy: 0.119000002742%
Iteration: 37 | Loss: 2.30119863629 | Training accuracy: 0.170000001788% | Test accuracy: 0.116000004113%
Iteration: 38 | Loss: 2.30119411707 | Training accuracy: 0.0899999961257% | Test accuracy: 0.122000008821%
Iteration: 39 | Loss: 2.30119551182 | Training accuracy: 0.070000000298% | Test accuracy: 0.134000003338%
Iteration: 40 | Loss: 2.30120032787 | Training accuracy: 0.0799999982119% | Test accuracy: 0.126000002027%
Iteration: 41 | Loss: 2.30119448622 | Training accuracy: 0.0999999940395% | Test accuracy: 0.115000002086%
Iteration: 42 | Loss: 2.30119519711 | Training accuracy: 0.159999996424% | Test accuracy: 0.133000001311%
Iteration: 43 | Loss: 2.3011955293 | Training accuracy: 0.119999997318% | Test accuracy: 0.106000006199%
Iteration: 44 | Loss: 2.30120000799 | Training accuracy: 0.109999999404% | Test accuracy: 0.120000004768%
Iteration: 45 | Loss: 2.3011997815 | Training accuracy: 0.119999997318% | Test accuracy: 0.11400000751%
Iteration: 46 | Loss: 2.30119789243 | Training accuracy: 0.0899999961257% | Test accuracy: 0.111000008881%
Iteration: 47 | Loss: 2.30119685253 | Training accuracy: 0.119999997318% | Test accuracy: 0.117000006139%
Iteration: 48 | Loss: 2.30119260629 | Training accuracy: 0.109999999404% | Test accuracy: 0.117000006139%
Iteration: 49 | Loss: 2.30119759123 | Training accuracy: 0.199999988079% | Test accuracy: 0.110000006855%
Iteration: 50 | Loss: 2.30119931579 | Training accuracy: 0.0899999961257% | Test accuracy: 0.121000006795%
Iteration: 51 | Loss: 2.30119978269 | Training accuracy: 0.129999995232% | Test accuracy: 0.124000005424%
Iteration: 52 | Loss: 2.30119514187 | Training accuracy: 0.0999999940395% | Test accuracy: 0.101000003517%
Iteration: 53 | Loss: 2.30119442662 | Training accuracy: 0.119999997318% | Test accuracy: 0.115000002086%
